gene,SI_15001,SI_15002,SI_15003,SI_15004,SI_16462,SI_16463,SI_16464,SI_16465,SI_16466,SI_16467,SI_16468,GTEX.1117F.0226.SM.5GZZ7,GTEX.1117F.0426.SM.5EGHI,GTEX.1117F.0526.SM.5EGHJ,GTEX.1117F.0626.SM.5N9CS,GTEX.1117F.0726.SM.5GIEN,GTEX.1117F.1326.SM.5EGHH,GTEX.1117F.2426.SM.5EGGH,GTEX.1117F.2526.SM.5GZY6,GTEX.1117F.2826.SM.5GZXL,GTEX.1117F.2926.SM.5GZYI
ENSP00000489796,202,179,402,347,151,19,458,99,64,308,68,3,2,10,10,12,8,19,38,18,16
ENSP00000500997,18,14,4,0,3,2,0,25,18,25,10,6,0,5,75,52,1,0,15,4,12
ENSP00000397291,1705,650,1309,803,262,43,400,640,405,917,516,1421,1599,1365,1410,1678,723,1031,3162,1405,1395
ENSP00000264220,654,553,467,551,492,106,148,255,166,256,158,354,119,246,583,243,447,432,665,444,369
ENSP00000430392,17,0,664,0,453,0,0,9,0,0,8,146,38297,103,14,374,22,6,9,22,24
ENSP00000509616,31,23,38,44,99,0,2,86,13,84,32,18,4,6,10,8,4,15,8,10,3
ENSP00000450337,235,389,140,148,388,0,116,219,98,1304,131,161,20,949,515,68,149,121,106,147,48
ENSP00000508419,5411,1249,8555,3466,1520,980,6021,1576,1042,4350,1181,1805,323,2407,284,3889,448,1665,1037,134,447
ENSP00000447168,2337,1266,2115,1799,1347,391,661,1168,816,2014,1106,2241,1204,2236,2582,1357,1304,1866,3003,2356,1553
ENSP00000393845,23,9,14,32,12,28,78,117,11,19,19,4,0,0,0,0,0,0,0,4,0
ENSP00000506584,5652,4822,8825,4579,5509,1390,1038,4895,1547,2139,1912,7683,1732,6693,5367,3455,4992,4463,3216,5929,3701
ENSP00000303057,531,640,299,448,626,69,486,433,204,215,277,709,196,327,2101,951,866,890,1049,895,672
ENSP00000436689,781,371,1187,552,407,150,321,376,281,524,250,1852,1458,1742,2311,1580,1281,1927,2647,1774,2195
ENSP00000253329,2547,922,1903,1092,2468,451,363,1012,362,1224,703,1539,710,1320,1409,840,1274,1108,1541,1452,1407
ENSP00000427929,495,191,425,166,177,45,64,203,71,159,140,77,42,46,93,84,66,69,129,89,60
ENSP00000421513,3464,2423,4259,4742,2202,803,556,1834,2350,3437,2387,2340,311,2469,3828,1453,1211,1898,2661,2160,1464
ENSP00000509183,2293,1289,1724,2307,921,550,1239,1279,685,2610,1223,852,837,666,955,450,760,1376,1116,1185,847
ENSP00000474405,95,73,45,44,106,0,4,39,13,27,35,106,586,126,294,323,63,174,861,130,868
ENSP00000384318,109,68,145,167,77,16,3,137,37,56,21,40,12,11,85,45,61,56,353,50,101
ENSP00000335084,10829,4465,8678,6229,4707,1294,1274,3240,1788,3294,2716,6114,6214,4428,4980,3193,4390,4337,6164,5267,5232
ENSP00000299174,123,4,391,38,0,30,8,1,0,2,0,0,0,0,0,0,0,2,5,3,9
ENSP00000391126,1669,1378,2983,3382,553,370,2876,823,555,1034,612,1158,415,778,1585,1116,695,1627,2400,1809,1643
ENSP00000408288,619,242,583,866,216,159,183,227,124,709,288,625,1995,743,1565,830,582,1746,1656,1109,931
ENSP00000393832,39,84,123,80,19,5,54,24,15,38,21,800,69,745,378,760,322,528,594,282,337
ENSP00000311344,5670,2772,4966,3732,2916,725,1626,1973,865,3209,1309,1426,458,640,3066,633,2566,1011,1894,3238,1123
ENSP00000377933,239,126,144,312,126,275,30,117,139,423,68,93,12,1082,405,165,38,31,267,56,589
ENSP00000451075,888,418,728,487,536,121,17,379,138,451,197,1024,756,730,1295,745,677,768,564,1052,547
ENSP00000511581,2886,1441,2572,2405,2022,1648,750,3429,993,2884,1672,5503,2050,5299,4811,3601,3791,3340,4795,4488,4080
ENSP00000353881,2768,1442,2029,1304,1390,383,213,845,639,1683,920,3178,5796,3782,4216,2178,1995,3700,3097,3216,2561
ENSP00000429379,3162,1284,2676,1522,2125,563,957,2382,989,3425,1394,2305,3207,2703,1942,1342,1503,990,1157,1755,944
ENSP00000383402,5101,3976,4968,2490,2456,455,2287,2754,965,2880,2016,4063,1254,2810,3509,1527,1829,3092,8807,3522,2873
ENSP00000418568,867,423,703,482,598,227,191,431,203,454,338,1810,1130,2083,2774,1395,2231,2318,3160,2204,1804
ENSP00000450864,6801,3190,3462,3416,2351,645,2354,3011,868,3387,1971,4738,2524,5377,3840,1905,3382,5249,6016,4148,5035
ENSP00000012443,2266,1591,2070,2106,1056,464,1862,1915,1019,3344,1253,2414,2207,1775,2792,2731,1834,2276,2749,2849,2025
ENSP00000362648,3981,2117,2251,2256,1620,278,327,2208,990,1794,1281,3511,10313,3496,3743,1717,2099,2025,3497,3525,3040
ENSP00000377389,8824,4671,6794,6076,4744,1877,2909,5769,2713,7802,3734,3924,2880,4135,4696,2550,2819,4530,5404,4597,3373
ENSP00000481109,3772,7680,3781,3244,1026,804,6118,2823,907,2331,910,837,728,545,1204,343,1499,531,1692,2124,567
