gene,TCGA.D7.5577.01A,TCGA.D7.6818.01A,TCGA.BR.4280.01A,TCGA.D7.8572.01A,GTEX.1399T.1326.SM.5PNVH,GTEX.13OVL.0011.R3b.SM.5L3I8,GTEX.Q2AI.0006.SM.2I3FG,GTEX.ZTSS.1226.SM.51MSZ
ENSP00000410587,1,1,0,180,1014,827,882,1031
ENSP00000365678,325,253,163,335,904,802,692,779
ENSP00000258821,136,111,147,154,0,0,0,0
ENSP00000485024,369,275,415,285,710,570,332,704
ENSP00000453116,277,278,246,239,1360,1163,593,1195
ENSP00000434596,202,313,458,384,0,0,0,0
ENSP00000337451,32,65,40,251,551,649,0,259
ENSP00000432797,6,84,0,22,0,281,0,0
ENSP00000272139,221,248,162,190,0,0,0,0
ENSP00000440161,777,663,829,684,505,159,100,159
ENSP00000356792,132,25,57,106,0,0,0,0
ENSP00000489625,261,267,343,343,259,359,317,742
ENSP00000264709,176,214,149,290,100,0,0,159
ENSP00000377957,114,165,277,194,0,0,0,0
ENSP00000282286,227,140,55,203,323,289,375,425
ENSP00000403969,559,666,540,545,0,0,0,0
ENSP00000300145,251,225,270,185,554,682,425,526
ENSP00000488481,14,124,11,136,0,100,0,0
ENSP00000459151,14,12,35,41,0,0,0,0
ENSP00000365505,777,808,783,713,100,0,0,100
ENSP00000264029,7,71,26,42,200,0,100,159
ENSP00000480832,371,212,362,287,836,777,648,1013
ENSP00000275364,349,475,294,405,929,741,159,741
ENSP00000357349,110,146,63,168,332,432,100,464
ENSP00000418562,73,115,346,154,1005,709,409,1036
ENSP00000445645,283,240,373,314,0,0,0,0
ENSP00000277570,327,142,29,211,100,0,159,0
ENSP00000396376,419,328,374,363,0,0,0,0
ENSP00000493442,14,8,20,24,486,317,0,1127
ENSP00000440689,3,39,7,51,768,845,509,765
ENSP00000346725,400,366,427,399,0,0,0,0
ENSP00000374859,47,103,139,197,0,159,281,0
ENSP00000456163,58,73,80,62,0,0,0,0
ENSP00000381785,387,456,415,387,0,0,0,0
ENSP00000304032,37,90,172,128,915,593,993,717
ENSP00000394447,431,307,661,684,621,108,0,425
ENSP00000386963,262,190,360,278,0,0,0,0
ENSP00000446355,67,52,38,134,0,0,159,0
ENSP00000321987,3,78,143,147,0,0,0,0
ENSP00000353241,26,62,77,53,0,0,0,0
ENSP00000293981,310,402,339,296,561,543,232,615
ENSP00000363923,88,151,58,191,0,0,0,10
ENSP00000276927,8,0,0,5,0,0,0,0
ENSP00000472674,160,109,176,243,0,0,0,0
ENSP00000420821,862,719,902,801,232,200,1189,300
ENSP00000283752,114,7,3,72,0,0,0,0
ENSP00000320675,137,123,46,184,0,0,0,0
ENSP00000357152,61,211,38,68,770,702,300,1253
ENSP00000361755,0,0,0,8,0,0,0,0
ENSP00000403353,337,322,343,286,615,0,481,481
ENSP00000265564,277,168,252,205,964,1039,732,1012
ENSP00000363216,1,309,62,273,995,936,904,860
ENSP00000303231,3,27,25,51,0,0,0,209
ENSP00000371770,71,17,244,193,0,0,0,0
ENSP00000383894,98,102,8,203,0,0,0,100
ENSP00000442653,176,197,238,225,0,0,0,0
ENSP00000174618,237,255,219,253,0,0,0,0
ENSP00000378506,288,258,238,299,381,200,100,300
ENSP00000493207,0,0,0,7,200,100,159,100
ENSP00000414443,475,576,449,486,0,0,0,100
ENSP00000385898,5,104,0,64,0,0,0,0
ENSP00000006750,116,148,97,130,0,0,0,0
ENSP00000316335,302,262,266,245,0,0,0,0
ENSP00000507872,130,175,118,190,901,729,578,900
ENSP00000387572,119,246,234,122,370,0,370,0
ENSP00000403476,155,93,182,234,1063,704,1206,898
ENSP00000270645,373,608,331,473,0,100,0,0
ENSP00000455394,608,575,542,562,1179,675,905,950
ENSP00000499753,2,4,18,9,655,1000,359,735
ENSP00000456020,800,790,830,703,1384,1460,1552,1557
ENSP00000474388,2,0,0,2,0,100,0,0
ENSP00000418571,339,349,334,342,223,0,0,214
ENSP00000449396,372,375,364,400,0,0,0,0
ENSP00000376585,1,2,1,12,854,1003,600,762
ENSP00000358367,22,4,4,25,232,1000,0,159
ENSP00000445401,211,304,221,314,0,0,100,0
ENSP00000450472,281,255,410,567,918,724,789,921
ENSP00000381517,179,199,215,266,0,0,59,0
ENSP00000417341,54,63,130,150,1059,973,997,961
ENSP00000424723,117,113,190,207,1097,966,851,1112
ENSP00000468337,7,13,0,11,0,0,0,0
ENSP00000225728,189,122,222,234,0,0,0,0
ENSP00000336753,267,307,274,348,161,408,0,317
ENSP00000369674,373,392,273,345,1018,1042,1341,997
ENSP00000339845,284,323,352,397,1057,999,849,1066
ENSP00000423715,322,369,266,337,0,0,0,0
ENSP00000333919,43,23,17,27,1087,992,1074,1061
ENSP00000440661,0,5,0,0,0,0,0,0
ENSP00000374857,706,398,722,814,446,432,0,317
ENSP00000478270,0,67,30,102,381,0,0,200
ENSP00000351686,155,138,193,217,906,778,829,893
ENSP00000287022,396,373,389,272,0,0,0,0
ENSP00000360757,43,402,68,252,0,0,0,0
ENSP00000364235,620,714,625,560,858,1116,317,942
ENSP00000302630,0,3,0,31,852,891,838,886
ENSP00000421410,0,0,3,7,0,0,0,100
ENSP00000445881,0,0,0,20,0,0,0,0
ENSP00000437696,295,246,377,283,159,260,0,0
ENSP00000383168,16,232,104,107,707,810,755,880
ENSP00000374309,2,24,16,28,0,0,0,0
ENSP00000424598,0,0,0,0,816,736,517,743
ENSP00000339917,280,402,301,309,0,0,0,0
ENSP00000361275,288,244,244,299,0,0,0,0
ENSP00000340017,1,16,23,57,973,887,564,1007
ENSP00000304553,211,191,225,221,1003,784,1074,988
ENSP00000361007,1,1,0,1,0,0,0,0
ENSP00000376582,156,173,196,188,200,200,100,200
ENSP00000450455,0,0,51,56,561,0,0,0
ENSP00000395086,0,0,0,0,0,0,0,0
ENSP00000246914,5,410,251,209,729,362,300,307
ENSP00000231368,190,208,194,270,0,0,0,0
ENSP00000419944,11,1,3,10,232,259,0,281
ENSP00000431040,287,218,272,246,0,0,0,0
ENSP00000252575,1,0,1,8,0,0,0,0
ENSP00000386694,129,155,124,178,0,0,0,0
ENSP00000359337,12,179,0,180,0,0,0,0
ENSP00000403529,275,256,296,291,159,981,0,281
ENSP00000411609,0,2,0,6,1016,980,899,1044
ENSP00000455155,56,169,195,299,370,317,232,159
ENSP00000461206,337,354,251,281,0,0,0,0
ENSP00000336729,6,95,2,124,591,583,425,517
ENSP00000372649,0,0,0,5,0,0,0,0
ENSP00000428429,299,256,327,342,0,0,0,0
ENSP00000495148,236,261,270,259,0,0,0,0
ENSP00000510435,34,67,14,69,0,0,0,0
ENSP00000283249,378,75,259,116,381,476,259,317
ENSP00000514107,281,365,257,314,281,0,0,100
ENSP00000296875,3,9,25,12,109,0,101,209
ENSP00000261407,387,299,358,349,0,0,0,0
ENSP00000304930,5,2,2,24,0,0,0,0
ENSP00000465189,18,49,112,133,0,0,0,0
ENSP00000442318,305,310,380,351,0,0,0,0
ENSP00000433295,124,123,22,85,0,0,0,0
ENSP00000506780,114,357,109,164,1187,1111,928,1198
ENSP00000497249,122,129,47,35,0,0,0,0
ENSP00000183936,10,3,22,18,332,865,159,593
ENSP00000230588,23,421,220,504,100,648,232,300
ENSP00000479154,0,1,1,25,1039,841,1087,870
ENSP00000357750,310,307,334,327,495,425,0,300
ENSP00000404402,271,374,306,364,1007,1052,1028,895
ENSP00000323354,0,0,0,11,317,1055,0,504
ENSP00000482961,6,2,11,5,0,159,0,159
ENSP00000254480,417,405,514,527,0,0,0,0
ENSP00000359723,242,228,113,284,1049,1051,902,1126
