gene,TCGA.D7.5577.01A,TCGA.D7.6818.01A,TCGA.BR.4280.01A,TCGA.D7.8572.01A,GTEX.1399T.1326.SM.5PNVH,GTEX.13OVL.0011.R3b.SM.5L3I8,GTEX.Q2AI.0006.SM.2I3FG,GTEX.ZTSS.1226.SM.51MSZ
ENSP00000506878,2.60842709759273,0.990210776265836,2.59090178927678,3.95959627956334,0,0,0,0
ENSP00000470845,9.65118026109312,25.0028221007124,62.699823300498,45.1859810726639,120.205203997912,113.391228344085,119.152033940986,124.336107105097
ENSP00000375007,50.6034856932991,67.3343327860768,91.1997429825425,166.768878598079,0,0,0,0
ENSP00000417362,13.8246636172415,42.3315106853645,8.031795546758,39.1301279392141,0,0,0,0
ENSP00000473983,99.9027578378017,88.3763117817259,96.381546561096,75.465246739913,85.8378101032071,84.612603521194,71.4011243086817,80.4921500909176
ENSP00000492362,50.8643284030583,54.461592694621,58.0362000797998,50.5430819214849,79.2224901516441,96.6755001535434,22.5240139775021,94.381647923654
ENSP00000514040,89.4690494474308,57.184672329352,70.9907090261837,71.27273303214,0,0,0,0
ENSP00000426769,0,0.742658082199377,3.88635268391516,3.26084399493451,0,0,0,0
ENSP00000507048,39.126406463891,23.7650586303801,37.8271661234409,33.5401096621835,0,89.7824163636295,0,16.7343347382365
ENSP00000300433,82.6871389936897,66.0965693157445,100.267899245011,61.2572836191269,209.592697977568,144.582432493446,22.5240139775021,208.509810838427
ENSP00000508424,6.78191045374111,0,2.3318116103491,11.6458714104804,0,0,0,0
ENSP00000468744,0,0.247552694066459,0.259090178927678,0.232917428209608,0,0,0,0
ENSP00000273390,4.17348335614838,11.1398712329907,0.259090178927678,11.1800365540612,37.4330299698196,27.400008064908,0,38.8236565927087
ENSP00000383702,27.649327234483,17.5762412787186,46.8953223859096,31.9096876647163,48.4047801333874,68.9308378991397,0,0
ENSP00000513708,186.76338018764,137.391745206885,160.117730577305,124.144989235721,106.490516293452,101.156004616988,166.902943573291,145.421368875275
ENSP00000283147,6.78191045374111,25.2503747947788,14.2499598410223,40.2947150802622,0,0,0,0
ENSP00000296129,120.770174618544,109.170738083308,116.849670696383,109.704108686725,0,48.4239136241456,0,16.7343347382365
ENSP00000402866,121.813545457581,104.714789590112,110.890596581046,103.648255553276,0,48.4239136241456,22.5240139775021,33.468669476473
ENSP00000246174,34.9529231077426,36.6377987218359,44.8226009544882,32.8413573775547,0,34.9824002338134,0,0
ENSP00000250572,17.4764615538713,21.041978995649,16.3226812724437,18.400476828559,0,0,0,0
ENSP00000263593,77.209442088745,59.4126465759502,114.776949264961,86.6452832939742,0,44.632717539693,0,0
ENSP00000389913,74.3401722813929,68.5720962564091,63.9952741951364,66.1485496115287,0,34.4654189495699,0,38.8236565927087
ENSP00000394699,135.638209074822,136.649087124685,157.526828788028,120.418310384367,188.778642520211,142.514507356471,255.872798784424,189.767355931602
ENSP00000259881,16.172248005075,11.6349766211236,25.1317473559847,10.2483668412228,143.762196996161,115.976134765303,150.685653509489,127.515630705362
ENSP00000404281,0,0,0,0,0,0,0,0
ENSP00000489429,5.73853961470402,3.46573771693043,6.99543483104729,8.15210998733628,127.143222483698,82.8893325737155,77.9330883621573,97.5611715239189
ENSP00000405676,0,0,4.40453304177052,1.63042199746726,183.938164506872,190.249112601626,305.650869674704,188.595952499926
ENSP00000305731,178.938098894862,172.049122376189,90.4224724457595,122.281649810044,55.8268464205068,91.6780144058558,136.045044424113,65.4312488265048
ENSP00000388552,7.8252812927782,8.66434429232607,14.7681401988776,12.3446236951092,0,0,0,0
