Gene	Terms
NR2C1	GO:0003700,GO:0008270,GO:0043565,GO:0006355,GO:0005654
MFSD4A	GO:0016020
SLC35E2B	GO:0016020
PSMB3	GO:0043161,GO:0005634,GO:0019774
PEG10	GO:0003676,GO:0008270,GO:0005654,GO:0005829
NDUFC2-KCTD14	GO:0006120,GO:0005739,GO:0005743
GLIPR2	GO:0005576
ZMYND12	GO:0046872
ANAPC16	GO:0016567,GO:0005737,GO:0005680
KDM6A	GO:0005634
SLIRP	GO:0003723,GO:0005739
ANXA8L1	GO:0005509,GO:0005544
CYP1B1	GO:0004497,GO:0005506,GO:0016705,GO:0020037,GO:0016020
RHBG	GO:0016020
MPP4	GO:0005829,GO:0015629
CPNE3	GO:0005544,GO:0005654,GO:0005730,GO:0005739,GO:0005829
NAPRT	GO:0004516,GO:0009435
CSPG5	GO:0007399,GO:0016020
LTBP4	GO:0005509
MASTL	GO:0004674,GO:0005524,GO:0005654
ZNF724	GO:0046872,GO:0006355
CFAP45	GO:0005654
UROS	GO:0004852,GO:0004852,GO:0006780,GO:0006782
BSG	GO:0005537,GO:0005789,GO:0016323,GO:0016328
PTBP1	GO:0003676
IKBKG	GO:0046872,GO:0070530,GO:0006974,GO:0005634,GO:0005829
ENKUR	GO:0005737,GO:0043227,GO:0043229
CACNA1C	GO:0005245,GO:0070588,GO:0005891
ADRM1	GO:0005634,GO:0005737,GO:0000502
AR	GO:0003677,GO:0004879,GO:0005496,GO:0006355,GO:0030521,GO:0005634
RGS3	GO:0005515
PIAS2	GO:0008270,GO:0016740,GO:0016925,GO:0060255,GO:0005654
SNX13	GO:0035091,GO:0016020
DGKI	GO:0004143,GO:0004143,GO:0004143,GO:0005095,GO:0005524,GO:0031267,GO:0046872,GO:0007205,GO:0007265,GO:0007269,GO:0030168,GO:0046486,GO:0046579,GO:0046959,GO:0051966,GO:0060079,GO:0099171,GO:1900452,GO:0048471,GO:0098685,GO:0098793,GO:0098794,GO:0098978,GO:0032045
EEF1A1	GO:0003746,GO:0003924,GO:0005525,GO:0006414,GO:0005737
SUCO	GO:0016020
A0A087WV05	GO:0003713,GO:0045893,GO:0005654,GO:0005739
DNAH10	GO:0045505,GO:0051959,GO:0007018,GO:0030286
TMEM120A	GO:0005637,GO:0005886
DDC	GO:0016831,GO:0030170,GO:0006520,GO:0019752,GO:0042423
CEP43	GO:0030030,GO:0034453,GO:0005814,GO:0042995
GLMP	GO:0005765
