gene,cntrl1_4h,cntrl2_4h,cntrl3_4h,treat1_4h,treat2_4h,treat3_4h,cntrl1_24h,cntrl2_24h,cntrl3_24h,treat1_24h,treat2_24h,treat3_24h
MEdarkturquoise,0.00370711042061605,0.922016347113434,0.0729560910361137,-0.152241562492774,-0.15032238827465,0.00451849917623387,-0.183858505158409,-0.154119863334866,-0.0157936499072453,-0.0919112957276056,-0.126830226436546,-0.128120556414302
MEsalmon,-0.0350543547347329,0.623174300900247,0.207665359577519,0.211518209301852,-0.140822468589064,-0.0333080383085211,-0.237616029210811,0.281992576097687,0.139643603034634,-0.346972046680314,-0.359094289430455,-0.311126821958041
MEindianred4,0.304229204076131,0.0110646016020101,-0.161946993259711,0.17868689722276,-0.456687471253658,-0.0671379659988986,0.664345146358332,0.139809889547759,-0.0879573147772425,0.0452330632682258,-0.245024731078583,-0.324614325707126
MEmaroon,-0.0938102016350893,-0.168830925968802,-0.0480705628648988,-0.102514667637795,0.0477368113569907,-0.147490938704741,0.933057848888087,0.0244955999504187,-0.147107421167366,-0.141256693034612,-0.0987407456359369,-0.0574681035462554
MElightcoral,0.669031549596772,0.100562551408751,-0.203020276151356,0.115605971767673,-0.347406541474949,0.0510223828306648,0.0644454981998845,-0.2887853137656,-0.164199565444748,0.406188841926924,-0.159756069619828,-0.243689029274189
MEpaleturquoise,0.928749112462153,0.0315058126201401,0.0341757882091476,-0.0672561798807445,-0.0730552085903508,-0.140080326589146,-0.159186018532249,-0.114665492984185,-0.08029235895664,-0.227780956537373,-0.076898263510116,-0.055215907710637
MEmediumpurple3,-0.0425799122579619,-0.159679454185967,-0.0186556662384111,-0.126431073028519,-0.0663084022059802,-0.0408235427008951,-0.146938385693583,0.941290841309374,-0.0816283273770565,-0.152123814619959,0.00709725840060678,-0.113219521401647
MEivory,-0.284880514348833,-0.151746340608566,-0.259810201116409,-0.26573795492976,-0.323363920276093,-0.363935554543005,0.230830528634121,0.346976220236854,0.477182850207523,0.190017655224437,0.228715153572628,0.175752077947101
MEblue2,-0.286205373973682,0.0552821020888128,-0.0328558143680397,-0.16650888659478,-0.103837611034584,-0.192418822989486,-0.0143925757861428,0.616386095040657,0.609060784711106,-0.237929896629974,-0.135798366302379,-0.110781634161509
MEgrey60,-0.146303910643367,-0.0945087906547162,0.0286106732944287,-0.196886009816662,-0.0531185947484192,-0.0624435402596691,-0.118398970901955,0.0212650712024344,0.931610419784387,-0.18066378561035,-0.066863931920099,-0.0622986297260133
MEwhite,-0.00338547933397639,-0.110920080296274,-0.125924574814527,-0.545681672416082,-0.474495778906111,0.388118319529789,0.175605001621273,0.0563097268692788,0.142508990939384,0.37598461527555,0.27907928385755,-0.157198352325854
MElightpink4,0.0610693850280138,0.00697837702967352,-0.224303352517615,-0.218187275246998,-0.509873925616303,-0.257026603017007,0.27087509818598,0.0583007957046239,0.0111157024215074,0.68305696729359,0.163510538247619,-0.0455157075130861
MEmidnightblue,0.051892537723787,-0.0192707150532967,-0.0131314652108036,-0.127983074482047,-0.156910036840279,-0.0534893739870692,-0.142474112281941,-0.165841096840934,-0.0966764966231362,0.934537131020916,-0.115482591815051,-0.0951707056101455
MEorangered4,0.00506219646183243,0.593364686863101,0.268006293778044,0.0539817123238068,-0.143697505334075,-0.298965682800812,-0.540362102330868,-0.155053556586763,-0.102633684499744,0.365337000576348,0.00965169869347432,-0.0546910571443448
MEdarkorange2,-0.00134565850663056,0.253479599746878,0.034703853861201,0.122059091448559,-0.351020801854004,-0.666196086439476,-0.288070478019169,0.0789790233507475,-0.0495770819111673,0.370843242290627,0.260834158294034,0.235311137738399
MEplum3,-0.123771524533529,0.338050519210071,-0.115821762991528,-0.228014498827613,-0.440476971945387,-0.323154971911131,-0.277206591335361,0.191025962392514,0.332018192210833,0.478732800596844,0.224979819022019,-0.0563609718877324
MEskyblue3,-0.150515044037293,-0.0755548628397579,-0.0427766529418122,-0.0622371246622809,-0.0779894559977619,-0.103775561966209,-0.113092976386021,-0.11229966126165,0.0332868841896906,-0.129945671771689,0.945255624102764,-0.11035549642798
MEdarkred,-0.275501801465764,0.0316468633774929,0.0390700171824468,-0.142696200004739,-0.137254969167287,-0.291681418636605,-0.42413292998753,-0.0406963996857032,0.00678244242395726,0.143685788033226,0.554222563146489,0.536556044784016
MEgreen,-0.148625982534096,-0.132428556622247,-0.214279289175703,-0.22815587921298,-0.251053688315665,-0.177235390633582,-0.0797610495158716,-0.124622250681522,-0.0962402101871759,0.624021634379031,0.460542073348383,0.36783858915143
MEgrey,0.0679254153614362,-0.44627678982413,0.00666904321188143,0.0808871378701941,0.454525792948419,-0.287527971713193,-0.113085705819978,0.455423081777797,-0.134594673198346,0.35868172420212,-0.0881900730607089,-0.354436981755492
