gene,SI_15001,SI_15002,SI_15003,SI_15004,SI_16462,SI_16463,SI_16464,SI_16465,SI_16466,SI_16467,SI_16468,GTEX.1117F.0226.SM.5GZZ7,GTEX.1117F.0426.SM.5EGHI,GTEX.1117F.0526.SM.5EGHJ,GTEX.1117F.0626.SM.5N9CS,GTEX.1117F.0726.SM.5GIEN,GTEX.1117F.1326.SM.5EGHH,GTEX.1117F.2426.SM.5EGGH,GTEX.1117F.2526.SM.5GZY6,GTEX.1117F.2826.SM.5GZXL,GTEX.1117F.2926.SM.5GZYI
ENSG00000162426.14,258,213,253,211,185,48,114,361,114,659,184,170,118,570,481,193,332,653,122,319,134
ENSG00000022567.9,3665,1244,2503,1548,519,317,5258,1170,527,3080,892,565,1180,854,1011,921,415,881,343,463,850
ENSG00000139508.14,1317,339,1673,1132,534,73,94,409,227,514,540,1966,499,566,1142,828,312,657,140,554,211
ENSG00000142494.13,6554,4706,3320,1656,24,632,3221,753,2389,3058,3706,122,356,76,146,84,117,850,456,361,342
ENSG00000231625.4,102,6,21,5,0,6,12,8,19,68,14,60,2,14,23,11,9,159,51,28,19
ENSG00000180638.17,83,181,32,14,3,8,33,12,19,11,2,10,1,0,7,4,7,17,151,40,65
ENSG00000169026.12,1837,1147,1335,1328,775,187,1204,769,154,1050,277,518,67,143,663,439,485,311,455,941,978
ENSG00000163798.13,2060,1640,2515,1665,1502,334,1214,1150,565,1550,615,997,1147,673,1130,842,694,725,1379,1073,1375
ENSG00000188687.17,1034,274,1780,565,439,176,368,410,266,772,154,1127,338,1026,214,148,157,197,173,274,197
ENSG00000033867.16,8339,4506,12833,9155,5060,4780,4471,8157,1253,6908,6882,5214,672,6095,4164,1723,2678,2806,4089,3262,1425
ENSG00000100170.9,2309,845,16,3532,12,344,310,594,603,567,804,30,4,16,3,565,5,9,771,109,1891
ENSG00000154025.15,1890,2310,385,1852,3,244,3380,265,2284,582,858,77,6,0,23,91,27,23,29,33,54
ENSG00000158865.12,111,5,16,6,5,2,9,5,1,9,6,8,3,4,34,11,14,25,20,47,12
ENSG00000100191.5,1236,287,348,654,331,105,213,117,299,2183,282,142,28,126,212,161,132,255,69,164,45
ENSG00000256870.2,4838,3143,8,4684,5,113,206,10,3211,1657,6,7,2,6,0,0,2,1,2,3,2
ENSG00000117834.12,420,217,483,214,6,38,202,305,29,82,181,57,2,73,123,72,30,67,54,39,82
ENSG00000214617.9,2986,602,1650,481,2844,680,5826,1400,549,545,314,1,5,0,0,2,0,0,9,1,1
ENSG00000111181.12,3018,1208,308,3615,48,352,3862,412,722,2220,1119,44,8,17,31,25,48,255,8,62,93
ENSG00000063127.15,496,371,305,451,310,71,60,629,254,313,133,634,84,2570,763,278,288,477,211,432,240
ENSG00000196517.11,518,570,617,838,198,161,125,817,385,811,173,74,36,25,215,79,167,930,5522,446,2649
ENSG00000130876.11,2,21,2,2,49,0,0,1,0,10,1,344,2,0,714,95,1095,0,4,438,10
ENSG00000151012.13,141,47,1167,63,238,38,159,533,18,60,39,26,14,30,97,132,98,16,51,458,51
ENSG00000003989.17,3249,1237,9015,1784,2385,291,791,8968,821,3347,785,5798,15336,20569,9984,2198,7889,4030,3024,5246,1362
ENSG00000260727.1,7,6,18,10,8,2,81,25,1,10,0,9,9,2,18,9,17,14,15,11,17
ENSG00000155465.18,1427,960,5689,2668,234,273,703,1007,331,293,2012,995,60,650,779,445,719,364,98,361,543
ENSG00000183023.18,12583,4699,4325,6835,1856,1760,548,1768,1463,4410,1712,104,27,142,1305,3763,274,1698,203,217,278
ENSG00000100678.18,5,15,12,13,34,1,0,28,2,40,21,88,1217,8,20,245,20,47,16,12,130
ENSG00000089060.11,1180,838,2147,700,452,117,1085,825,254,767,313,6131,621,2276,2564,1189,1147,2662,2591,2879,2339
ENSG00000115616.2,78,80,1,4,8,58,8,19,0,1,5,112,43,2,1,0,6,1,2,4,30
ENSG00000180251.4,17,82,3,9,2,9,1,12,6,3,1,4,2,0,0,0,3,0,2,0,9
ENSG00000227825.4,537,153,382,136,91,61,53,175,39,98,68,14,4,0,43,30,12,40,4,16,4
ENSG00000197818.11,2044,1311,2670,1978,775,443,1427,1771,979,2437,986,2694,3874,3470,1724,870,909,1227,2191,1690,916
ENSG00000139155.8,78,29,56,102,209,8,0,143,40,282,119,26,5,37,74,43,56,9,2,22,3
ENSG00000137491.14,4979,2618,8615,4979,3452,2226,3374,5424,1882,7094,3430,5378,367,913,3967,1174,2144,2756,483,1301,1444
ENSG00000172716.16,11008,4371,13912,4300,5205,1400,380,3362,1066,3293,1300,1621,354,1106,4009,1962,2846,2165,1132,2942,1017
ENSG00000172123.12,2237,836,731,1465,988,393,29,555,409,1383,461,206,26,84,486,211,282,240,136,345,110
ENSG00000171790.15,30,49,120,30,15,6,13,1,19,55,17,49,8,30,110,34,24,202,65,21,18
ENSG00000119705.9,751,405,530,490,409,79,81,371,181,410,283,728,1339,747,987,1021,731,668,962,933,644
ENSG00000184347.14,5152,8482,5448,11538,3830,632,1662,8283,4699,12705,5389,27644,220,8664,12293,3771,7256,3400,2025,8095,7701
ENSG00000165300.7,21351,1095,45,828,4919,1273,51,34,797,8312,351,23,4,16,804,108,29,60,122,25,64
ENSG00000124107.5,3,49,757,3,105,10,0,774,2,2,69,356,1364,95,682,113,219,24,5611,611,4590
ENSG00000132207.17,379,303,406,681,165,110,474,413,116,440,114,44,4,13,49,20,21,32,52,53,31
ENSG00000181625.17,241,171,223,446,69,75,223,281,81,275,88,2,0,6,11,1,3,3,5,8,4
ENSG00000141646.13,3227,2542,2967,3162,1844,548,1302,2016,1438,3670,1634,4137,4291,4661,5014,2880,3126,4917,5135,5025,4362
ENSG00000120693.13,599,1027,1489,757,559,315,431,759,428,1973,1633,779,3521,1044,2375,1759,665,1236,476,737,268
ENSG00000112305.14,1699,786,2519,1146,954,436,397,1334,533,1172,727,509,881,502,371,290,404,184,265,479,282
ENSG00000102038.15,9925,5795,3792,4427,5846,341,1931,3436,1304,4165,2646,2276,559,1407,2985,1910,2301,1720,1796,2366,1068
ENSG00000163104.17,1889,858,1420,1298,1305,275,404,724,646,1882,948,1277,668,994,1793,954,1135,1616,3695,1534,1378
ENSG00000138375.12,1919,1024,1313,1471,946,327,548,817,645,1606,768,734,128,340,1057,595,825,1017,1165,1224,1052
ENSG00000066117.14,1870,1189,1189,1387,629,192,619,1209,538,1581,778,2808,1086,2691,3177,1162,1706,3307,3980,3783,2003
ENSG00000108604.15,1446,742,1402,1127,835,294,377,1110,418,1052,592,5901,1046,2455,4659,2013,1948,2470,7161,4212,6708
ENSG00000082014.16,557,643,339,859,764,147,373,820,189,1413,327,1911,2853,3258,6093,3311,1673,2058,2300,2983,1357
ENSG00000283426.1,791,678,788,687,402,122,738,734,133,1188,275,246,103,185,77,87,31,62,146,85,65
ENSG00000108055.9,3764,1872,3322,2239,2363,932,761,1667,1086,2643,1475,3203,1545,3350,2502,1375,2342,2705,3317,3331,2970
ENSG00000179256.2,15,7,4,364,4,17,0,2,19,21,7,32,1,35,103,57,8,49,32,8,10
ENSG00000183172.8,770,529,963,516,148,5,283,446,96,337,127,898,2588,1323,1333,1042,563,940,1720,1162,1353
ENSG00000157106.16,27089,10232,19635,16325,13912,3649,7586,10204,4732,14880,5890,7672,34690,8903,8546,5161,5474,7725,16484,7651,12085
ENSG00000237296.9,104,51,107,144,54,21,385,51,28,57,15,48,57,66,58,31,40,27,58,41,76
ENSG00000180747.15,285,165,454,220,138,75,390,202,67,337,76,192,364,284,208,143,226,87,245,170,283
ENSG00000185710.9,258,65,133,152,85,8,10,75,47,140,61,7,9,8,2,0,3,2,3,1,2
ENSG00000183604.14,76,53,62,99,30,7,82,27,17,104,22,172,153,172,162,105,161,96,211,171,182
ENSG00000198952.8,10590,7571,12897,13090,3302,2041,7718,6167,2011,5181,1916,5639,4851,4300,5989,4466,3229,6199,6623,5815,5827
ENSG00000116698.21,11186,6937,12557,17721,7389,2734,2266,7129,4146,10020,4733,3251,1680,3440,4346,3247,3276,4380,6461,5729,4205
ENSG00000167447.12,1285,993,1026,1312,565,166,419,550,536,760,550,418,248,224,472,190,262,383,563,527,520
ENSG00000273590.4,247,119,247,237,123,83,50,154,64,137,76,0,1,3,0,0,0,0,3,1,1
ENSG00000176209.11,931,534,614,341,488,68,96,436,402,593,587,2600,1402,1887,1439,965,562,923,1084,1156,1247
ENSG00000250317.8,385,280,735,512,307,112,18,335,84,151,109,901,1151,620,820,769,427,563,650,743,621
ENSG00000267795.5,2,7,1,11,3,0,0,17,3,2,19,13,3,0,0,0,2,0,10,69,17
ENSG00000095932.6,1997,1456,331,958,14,125,1432,83,89,37,624,11,8,6,2,13,2,5,13,11,41
ENSG00000232388.4,574,365,1002,443,362,114,41,473,291,462,326,863,1479,996,811,643,621,673,891,664,961
ENSG00000271824.1,35,17,1,116,0,0,14,0,28,1,1,2,18,0,2,0,0,2,0,3,0
ENSG00000204323.5,183,66,106,66,20,1,312,29,41,171,9,136,39,95,188,417,39,85,1454,140,1039
ENSG00000214046.8,1823,1048,924,1722,900,215,237,636,472,1007,558,1787,1008,900,2710,1525,1515,1859,3133,1903,2492
ENSG00000256162.2,154,22,12,32,0,0,0,0,21,2,5,0,0,0,4,4,5,2,0,4,0
ENSG00000172062.16,935,864,2968,934,1356,216,169,1333,503,1599,500,263,171,375,281,162,227,326,463,261,284
ENSG00000205571.13,77,594,1469,488,1187,341,302,571,270,189,230,101,87,160,128,95,90,127,223,190,130
ENSG00000119953.12,699,636,716,411,583,155,113,381,127,374,222,1634,1296,1887,2048,1231,1613,1460,2143,1901,1827
ENSG00000198732.10,22,40,4,6,66,1,3,181,15,18,14,1528,2812,370,820,234,459,47,199,624,281
ENSG00000112562.18,390,730,1231,428,3903,177,150,4351,482,1220,856,16595,790,6082,13349,5467,3674,30577,2021,4772,3692
ENSG00000136699.19,2389,2502,2222,2137,1134,548,1137,1962,880,2141,921,2926,1680,3289,3450,1472,1747,3776,3835,3313,2655
ENSG00000183963.18,5249,3742,6255,4241,6927,942,12702,7789,2061,14517,2475,8057,2461,57256,27180,6848,10906,33571,5347,10259,4591
ENSG00000123415.15,593,429,456,777,155,12,211,172,166,331,145,732,355,389,764,394,381,693,1539,898,1130
ENSG00000198742.9,5225,2327,3751,2737,1828,451,3253,2347,686,2813,1257,5182,4140,6305,3638,1266,1624,2488,4589,3348,3373
ENSG00000186532.11,1911,567,1187,841,562,281,183,746,362,1590,583,1294,1191,1384,1616,878,1022,1268,1592,1951,813
ENSG00000132639.12,424,418,169,319,198,49,0,109,16,17,3,75,34,91,1031,291,350,762,41,37,13
ENSG00000143740.14,862,526,712,1158,274,119,531,349,349,674,271,1077,594,634,822,1123,704,2792,1011,1268,945
ENSG00000065609.14,1,3,0,20,4,5,0,3,0,0,580,2,2,50,62,59,16,10,2,17,14
ENSG00000164975.15,2099,1410,2422,1989,1237,428,927,1235,831,2400,1337,1309,483,1308,2828,1503,1191,2338,2793,1897,1338
ENSG00000165684.4,1578,1548,1707,2272,1083,422,2390,1612,601,1620,483,2240,1014,1305,1541,759,795,1326,2068,1381,1224
ENSG00000143553.10,545,356,423,509,259,92,112,261,164,339,268,1262,842,738,1596,1003,748,1127,1579,1419,1075
ENSG00000145335.15,279,364,236,117,499,36,17,675,35,52,66,440,5,87,579,232,283,603,384,272,516
ENSG00000159210.9,705,498,860,737,295,103,157,291,139,258,133,1358,1002,1490,1451,824,940,849,1167,1535,1090
ENSG00000182600.9,7,13,54,31,8,4,61,13,11,10,9,316,43,31,43,6,6,17,54,122,115
ENSG00000161981.10,255,187,177,335,80,32,76,132,46,83,68,619,1936,608,580,905,308,574,650,611,401
ENSG00000184209.14,988,469,694,1288,308,238,334,381,201,784,313,391,724,249,1031,782,461,770,1051,727,783
ENSG00000125835.18,1802,1538,1616,1290,890,168,602,1293,374,546,461,5736,3605,4882,4107,1739,3186,3656,5875,5111,5129
ENSG00000125743.10,1931,1286,2475,1806,1748,389,284,1663,604,948,688,4660,3163,4677,3607,3378,3345,3344,5858,4296,5617
ENSG00000139343.10,177,171,179,135,133,32,92,115,57,65,41,813,467,1104,1156,584,852,814,1535,1450,1051
ENSG00000101400.5,803,912,1122,511,193,264,183,426,219,380,309,3218,6177,3224,3315,4412,735,961,759,1706,1135
ENSG00000168807.16,1478,1100,1588,1563,649,148,848,1202,362,1499,594,3992,927,2634,3532,1518,1818,2756,3856,2494,2585
ENSG00000188817.7,31,13,27,24,21,12,11,49,16,46,17,0,0,0,0,0,0,0,0,5,2
ENSG00000169371.13,1477,951,1266,959,869,107,154,532,283,689,392,464,296,225,871,596,487,829,1032,871,717
ENSG00000273173.5,228,152,245,216,361,66,0,151,110,511,153,9,4,7,24,22,6,20,34,10,11
ENSG00000100603.13,1719,1027,1145,1076,1459,272,316,993,257,946,565,3645,3588,3752,2864,1962,2707,2333,3232,3194,3632
ENSG00000086300.15,1899,1010,3652,1107,1481,444,104,1145,513,457,1042,356,27,65,313,244,468,257,132,333,63
ENSG00000002919.14,294,159,228,231,99,8,162,145,107,135,68,890,537,865,1257,438,442,775,1624,994,691
ENSG00000071189.21,6181,3006,4054,3631,2999,691,1146,2088,1149,3908,2030,2511,1782,2655,3498,1732,2250,2499,3327,2450,2439
ENSG00000120451.10,3745,1897,2152,3207,1193,553,1254,2196,849,2126,842,3194,1994,2582,4589,2169,1885,3641,3991,3873,2114
ENSG00000158482.10,167,102,525,98,125,5,332,162,38,226,82,41,2,15,13,16,13,21,43,28,24
ENSG00000271699.5,312,147,290,159,246,31,414,390,166,526,105,90,13,24,81,67,104,137,45,77,97
ENSG00000173548.8,7260,2494,29697,5479,4428,859,4452,5519,3402,8213,3748,6962,585,5614,5515,3477,5309,4339,6771,3809,3927
ENSG00000089006.16,2264,1491,2312,1354,903,192,804,852,359,1036,500,2924,2711,1299,3249,1961,2865,2626,3771,3335,2463
ENSG00000130340.15,3406,2172,5201,2076,2656,559,2095,3731,914,2767,1713,13325,2049,10292,7958,4825,7154,7677,3260,12709,5695
ENSG00000184557.4,7433,12686,8596,4061,3336,1154,12062,10573,318,433,936,3507,466,10726,6251,5300,10461,4097,1084,3476,1389
ENSG00000142168.14,4804,1659,6454,4228,1865,454,594,1799,1039,1280,1192,5441,4437,6005,8409,6440,4752,4911,11749,6075,5084
ENSG00000214338.10,649,797,836,137,278,23,7107,216,86,574,279,78,41,328,126,85,60,126,38,91,23
ENSG00000120896.13,10572,9814,5922,13500,9051,2238,4389,9486,4976,12593,5217,23996,10060,28008,21784,7630,8237,9825,8516,14926,9555
ENSG00000108018.15,16,219,19,8,11,3,193,1,41,8,8,523,10,48,1355,305,20,1512,335,141,972
ENSG00000184985.16,1127,198,3738,63,2312,69,405,1066,66,415,297,372,141,100,386,131,146,657,607,103,132
ENSG00000259479.6,23,30,9,50,8,0,67,5,27,9,17,31,7,33,77,33,27,39,185,57,185
ENSG00000115904.12,14167,7339,6583,8430,6054,2655,1200,4636,3118,9507,4946,4344,6048,3545,4223,1942,2690,3865,4127,3261,2107
ENSG00000198944.5,16,10,53,7,0,0,3,0,16,1,13,42,0,10,17,0,6,12,6,47,20
ENSG00000186212.3,1247,379,124,678,26,1,214,80,93,134,130,36,10,25,31,2,6,2,589,72,100
ENSG00000177732.8,641,520,753,643,445,120,985,378,260,556,308,382,77,382,1335,724,716,2246,1677,704,582
ENSG00000129194.7,6,21,4,5,5,13,33,5,9,9,5,213,72,69,59,165,35,432,4921,88,1907
ENSG00000124766.6,752,1454,1116,466,879,133,1458,1688,497,900,1120,4754,290,1003,888,1301,1865,7649,1823,3713,3379
ENSG00000135899.17,4999,2137,4127,3330,2207,1160,477,1987,893,2787,1147,834,299,840,868,656,730,683,660,773,532
ENSG00000185404.16,1712,465,1888,948,1137,378,525,770,318,1271,450,1079,492,1703,1082,717,1058,1042,1334,1046,536
ENSG00000204335.3,0,1,726,14,18,23,0,32,5,13,2,1121,10,40,16,4,18,311,46,119,1712
ENSG00000064199.6,292,131,101,285,107,113,48,134,45,91,65,44,18,76,87,35,57,39,81,56,21
ENSG00000104450.12,907,344,1167,845,457,112,379,372,159,326,172,311,55,125,301,135,180,197,242,370,735
ENSG00000155761.13,7644,616,888,3479,2833,449,98,279,782,318,263,13,5,6,7,15,8,5,593,39,27
ENSG00000061656.9,1013,457,1748,396,349,343,1307,897,227,655,306,126,12,148,96,167,550,122,115,135,36
ENSG00000137098.13,269,65,64,516,90,47,50,30,39,189,36,119,26,72,227,121,35,362,66,103,52
ENSG00000152583.12,32087,21316,47413,26972,150787,6085,2808,33739,9164,47033,19788,28843,18039,153199,167716,62975,89372,101599,21073,37110,11746
ENSG00000122432.17,70,15,32,37,31,1,89,28,10,35,9,38,20,44,43,20,19,59,20,20,9
ENSG00000187144.11,9,5,11,23,3,2,0,3,4,10,0,10,8,26,10,6,1,11,5,9,2
ENSG00000141255.12,79,14,2,7,7,0,0,0,7,34,0,21,4,3,22,7,51,4,0,38,2
ENSG00000170469.10,172,68,236,203,57,1,61,53,42,65,16,21,177,28,73,108,48,65,96,61,49
ENSG00000149634.4,281,99,442,236,153,2,39,95,69,183,59,173,40,56,92,40,31,89,70,40,20
ENSG00000167523.13,163,74,141,118,25,14,72,77,31,106,15,214,63,112,415,173,164,424,378,320,220
ENSG00000150628.6,95,21,19,67,32,1,1,18,36,10,4,2,21,3,2,9,2,21,0,10,1
ENSG00000106686.16,877,510,994,423,213,82,343,269,154,468,159,179,36,93,142,98,111,124,214,327,147
ENSG00000186583.11,116,57,86,151,62,353,100,242,22,176,53,9,3,6,14,5,10,10,6,11,8
ENSG00000123352.17,1985,1001,2046,1375,1827,544,257,1176,382,1808,655,1142,1182,671,1287,782,1283,1105,2455,1015,1151
ENSG00000161888.11,85,36,37,105,49,19,43,43,26,62,27,79,14,25,51,41,51,51,233,29,49
ENSG00000228589.3,38,14,46,52,8,0,0,40,6,25,20,25,15,36,27,19,21,26,29,28,10
ENSG00000128487.16,5093,1936,1556,2691,3384,1315,421,3759,1351,6929,2458,1081,512,2180,2689,552,1918,2108,286,2653,561
