gene,logFC,logCPM,PValue,FDR
ENSP00000354499,-9.94595465129376,14.7208259579239,2.51150413776674e-29,1.20970782635765e-27
ENSP00000400406,-3.57512702464889,10.5154578116833,2.90156920361789e-29,1.38402033955094e-27
ENSP00000244537,10.6250254610144,3.93479117413183,3.52533012550827e-29,1.66537951025213e-27
ENSP00000509780,-2.97177105935353,6.69681724893557,5.61118486734076e-29,2.62550011935668e-27
ENSP00000513674,5.24140114516649,8.19447678960353,1.21181072822691e-28,5.61662840356491e-27
ENSP00000483161,5.00665744096922,4.99675245537617,1.23039354998564e-28,5.64946122530791e-27
ENSP00000327453,8.76740556757186,7.19222603423755,3.31965019387754e-28,1.51013346319633e-26
ENSP00000255189,4.88371956365335,6.882744454955,3.6240891559273e-28,1.63350000211659e-26
ENSP00000455155,2.20488636631062,8.65707754280809,3.66772011092097e-28,1.6381371731777e-26
ENSP00000436450,7.5502744857082,3.72575614477247,4.25109283543722e-28,1.88158730635163e-26
ENSP00000482674,7.87407115000707,2.10497440024789,6.20474720960384e-28,2.72177884292711e-26
ENSP00000249822,-2.33869491527255,8.17991852933159,1.16060723399418e-27,5.04607375275524e-26
ENSP00000330074,7.47162557758692,4.47079326707516,1.80401880221954e-27,7.7746880485128e-26
ENSP00000474082,-1.94473909145267,7.37459931678169,2.08407516729913e-27,8.90353156255705e-26
ENSP00000379676,-2.75565038963682,7.50871911450949,3.52553717224952e-27,1.49318656269499e-25
ENSP00000400906,-2.52388396869039,7.04729478137859,4.35660441611335e-27,1.8294014954158e-25
ENSP00000295959,-2.63285818665723,5.39868012421927,8.12015201292942e-27,3.38087346097646e-25
ENSP00000409472,4.20998699744556,5.67817096228974,8.96346712666894e-27,3.70063142801046e-25
ENSP00000287022,-4.0381389676475,8.51126122507846,1.28767269789799e-26,5.27194663731067e-25
ENSP00000411989,-2.49526047597694,8.7320890167103,1.31790529188563e-26,5.35113115622655e-25
ENSP00000484213,-3.56021523413299,4.90984319713855,1.70122856409918e-26,6.85093109460595e-25
ENSP00000265260,-3.05259149314953,8.113956699122,1.75139623211416e-26,6.99561763282672e-25
ENSP00000431719,7.95017707051313,4.20243347653793,2.16604598516219e-26,8.58208381056601e-25
ENSP00000483845,4.25583934766086,4.68390580122656,2.84815957025822e-26,1.11944063749429e-24
ENSP00000447431,7.74272918923859,6.15608466089769,3.12429586269746e-26,1.21822742646291e-24
ENSP00000351416,2.28228924547374,10.2399619073965,6.12757983728805e-26,2.37045667248789e-24
ENSP00000386558,-2.71747957744322,6.93376057196117,6.95369791249932e-26,2.66902483157103e-24
ENSP00000375091,4.64007905012209,4.31057943168906,8.54652828171442e-26,3.25496848434597e-24
ENSP00000262056,-2.79706571393884,9.93257525214742,1.10527461778358e-25,4.17708784397747e-24
ENSP00000452080,2.67404306529677,8.88061785501974,1.1389617190187e-25,4.27154116453347e-24
ENSP00000430900,2.69634600278514,9.71492707820059,1.43710060842318e-25,5.34884491604778e-24
ENSP00000218249,5.18677723866849,2.49870258216967,1.7798775294212e-25,6.57484082860628e-24
ENSP00000478388,-3.91348439596317,5.94281046605281,2.04611000799058e-25,7.50189438004309e-24
ENSP00000314544,2.54266577146546,5.9896036726961,2.77518699187327e-25,1.00996249563506e-23
ENSP00000368165,-4.26502543004418,4.54978426102926,2.85787382260263e-25,1.0324069184152e-23
ENSP00000354813,-8.35334450189951,12.7478055874998,3.23067355416545e-25,1.15856198332955e-23
ENSP00000316598,-3.49474161742826,6.93622294245596,6.42103199705425e-25,2.28598044938605e-23
ENSP00000345361,-3.1751182525984,6.27580827670317,9.81001559787439e-25,3.44333836506329e-23
ENSP00000412149,-3.40115984568152,6.39507916952428,9.81207757192879e-25,3.44333836506329e-23
ENSP00000360939,-2.32270008837773,8.03528669343573,1.93718987728262e-24,6.74993891282946e-23
ENSP00000391447,2.43493853778696,8.53778888277911,4.87558465811398e-24,1.68688362150099e-22
ENSP00000481835,-3.13719438185498,5.08190465758012,5.75743676648849e-24,1.97806201634671e-22
ENSP00000427692,2.41655038385292,9.16593529784754,6.39220108396466e-24,2.18089471704989e-22
ENSP00000405635,-2.63621501236747,4.7487730876534,7.88829310296657e-24,2.67277131137067e-22
ENSP00000503828,2.65162977137105,8.97413030953757,1.11623849936393e-23,3.75621900505135e-22
ENSP00000459967,-3.10851245741479,5.22153059863543,1.32946451488786e-23,4.44330555213881e-22
ENSP00000398765,-2.0506044551158,7.37091668791725,1.43342326067243e-23,4.75838410789436e-22
ENSP00000429018,4.40193684880668,6.80758909948288,1.72376265532236e-23,5.68378921181124e-22
ENSP00000333945,3.74584532548065,4.1640278686608,2.32373285775115e-23,7.61099968675427e-22
ENSP00000336940,3.26215016885108,7.16270626487938,2.62519144796227e-23,8.54143416148253e-22
ENSP00000481678,8.24447958380911,4.19154772087042,2.70082884699998e-23,8.72971850349401e-22
ENSP00000259199,-2.42698186835507,4.49907170030339,3.08227166911494e-23,9.89751680415797e-22
ENSP00000456605,2.33775076190373,8.64455882748205,3.17005520410057e-23,1.00685762818775e-21
ENSP00000480826,5.97287128966994,2.19527212045697,3.17653027415227e-23,1.00685762818775e-21
ENSP00000502774,3.18593061426991,4.46697041132472,4.83344088374639e-23,1.52222404242603e-21
ENSP00000238892,-2.85518229201841,4.59584283527037,6.0732521075405e-23,1.90050239518131e-21
ENSP00000354543,2.18694110859948,8.933472442967,6.65978545653845e-23,2.07085607265654e-21
ENSP00000506987,-3.67865099987748,6.70119722318263,7.51805294827546e-23,2.32303107766524e-21
ENSP00000446362,2.70476127687746,7.01841368543925,7.65419545703456e-23,2.35031639252568e-21
ENSP00000490564,1.86254315001713,8.73224904363371,8.60158499185185e-23,2.62481907235827e-21
